time,rischio,spread_ingresso,spread_mediano_60s,spread_max_60s,tick_trovato
2026-07-07 07:09:47+00:00,10.402,0.58984375,0.60009765625,0.60009765625,1
2026-07-07 16:57:51+00:00,14.646,0.65966796875,0.69970703125,0.7099609375,1
2026-07-08 15:46:27+00:00,25.449,0.580078125,0.630126953125,0.710205078125,1
2026-07-08 19:44:49+00:00,18.444,0.7001953125,0.699951171875,0.710205078125,1
2026-07-09 08:01:28+00:00,11.226,0.6796875,0.6796875,0.6904296875,1
2026-07-09 13:52:17+00:00,12.602,0.60009765625,0.65966796875,0.7197265625,1
2026-07-10 09:00:04+00:00,6.051,0.5498046875,0.5302734375,0.60986328125,1
2026-07-10 13:23:09+00:00,9.756,0.59033203125,0.56005859375,0.65966796875,1
2026-07-13 03:09:31+00:00,14.129,0.8701171875,0.820068359375,0.89013671875,1
2026-07-13 08:07:27+00:00,7.284,0.68994140625,0.690185546875,0.89013671875,1
2026-07-13 21:53:53+00:00,11.918,1.090087890625,,,1
2026-07-15 08:42:06+00:00,6.074,0.68994140625,0.659912109375,0.7099609375,1
2026-07-15 18:20:36+00:00,19.808,0.539794921875,0.60009765625,0.7001953125,1
2026-07-15 22:20:19+00:00,13.953,0.820068359375,0.820068359375,0.830078125,1
2026-07-17 11:28:18+00:00,11.577,0.630126953125,0.6298828125,0.68994140625,1
2026-07-17 16:38:32+00:00,15.969,0.699951171875,0.699951171875,0.710205078125,1
2026-07-17 22:23:32+00:00,11.345,7.14990234375,,,1
2026-07-22 09:28:12+00:00,17.274,0.5703125,0.56005859375,0.66015625,1
2026-07-22 19:35:29+00:00,12.493,0.52978515625,0.580078125,0.7099609375,1
2026-07-24 09:12:35+00:00,5.071,0.590087890625,0.5499267578125,0.610107421875,1
2026-07-24 14:55:16+00:00,7.26,0.570068359375,0.489990234375,0.6201171875,1
