2026-07-21 09:50:00,6,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-21 13:10:00,7,Buy,EXPIRED,"non eseguito entro 20 candele"
2026-07-21 21:30:00,8,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 01:50:00,9,Buy,EXPIRED,"non eseguito entro 20 candele"
2026-07-22 03:30:00,10,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 04:10:00,11,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 04:40:00,12,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 05:00:00,13,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 05:30:00,14,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 05:50:00,15,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 06:00:00,16,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 06:10:00,17,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 17:00:00,19,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 17:10:00,20,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-22 18:50:00,21,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-23 10:20:00,23,Sell,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-23 10:40:00,24,Sell,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-23 10:50:00,25,Sell,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-23 11:20:00,26,Sell,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-23 16:13:57,27,Sell,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-23 17:00:00,28,Sell,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-23 20:20:00,29,Sell,EXPIRED,"non eseguito entro 20 candele"
2026-07-24 06:00:00,30,Sell,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-24 09:00:00,31,Sell,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-24 10:20:00,33,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-24 10:30:00,34,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-24 11:30:00,35,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-24 11:40:00,36,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-24 11:50:00,37,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-24 12:00:00,38,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-24 13:00:00,39,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-24 13:10:00,40,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
2026-07-24 13:30:00,41,Buy,REPLACED,"candela chiude oltre l'impulso -> nuovo setup"
